Cond,CondTag,Item,1,2,3,4,5,6,7,8,9,10,11,12,13,sentence,question,correct,incorrect,ibex
exp.caus.intr,2,117,When,did,the,scores,improve,for,the,second,grade,class?,,,,When did the scores improve for the second grade class?,Natural?,j,f,"[[""exp.caus.intr.117"", 117], ""DashedSentence"", {s: ""When did the scores improve for the second grade class?""}, ""Question"", { } ],"
exp.caus.tran,1,118,What,did,the,mayor,inflate,for,the,parade?,,,,,,What did the mayor inflate for the parade?,Natural?,j,f,"[[""exp.caus.tran.118"", 118], ""DashedSentence"", {s: ""What did the mayor inflate for the parade?""}, ""Question"", { } ],"
exp.caus.intr,2,118,When,did,the,float,inflate,for,the,parade?,,,,,,When did the float inflate for the parade?,Natural?,j,f,"[[""exp.caus.intr.118"", 118], ""DashedSentence"", {s: ""When did the float inflate for the parade?""}, ""Question"", { } ],"
exp.caus.tran,1,121,What,did,the,butler,chip,before,the,dinner,party?,,,,,What did the butler chip before the dinner party?,Natural?,j,f,"[[""exp.caus.tran.121"", 121], ""DashedSentence"", {s: ""What did the butler chip before the dinner party?""}, ""Question"", { } ],"
exp.caus.intr,2,121,When,did,the,bowl,chip,before,the,dinner,party?,,,,,When did the bowl chip before the dinner party?,Natural?,j,f,"[[""exp.caus.intr.121"", 121], ""DashedSentence"", {s: ""When did the bowl chip before the dinner party?""}, ""Question"", { } ],"
exp.caus.tran,1,122,What,did,the,cleaning service,crack,in,the,living,room?,,,,,What did the cleaning service crack in the living room?,Natural?,j,f,"[[""exp.caus.tran.122"", 122], ""DashedSentence"", {s: ""What did the cleaning service crack in the living room?""}, ""Question"", { } ],"
exp.caus.intr,2,122,When,did,the,vase,crack,in,the,living,room?,,,,,When did the vase crack in the living room?,Natural?,j,f,"[[""exp.caus.intr.122"", 122], ""DashedSentence"", {s: ""When did the vase crack in the living room?""}, ""Question"", { } ],"
exp.caus.tran,1,123,What,did,the,baseball,shatter,on,the,nicely,set,table?,,,,What did the baseball shatter on the nicely set table?,Natural?,j,f,"[[""exp.caus.tran.123"", 123], ""DashedSentence"", {s: ""What did the baseball shatter on the nicely set table?""}, ""Question"", { } ],"
exp.caus.intr,2,123,When,did,the,glass,shatter,on,the,nicely,set,table?,,,,When did the glass shatter on the nicely set table?,Natural?,j,f,"[[""exp.caus.intr.123"", 123], ""DashedSentence"", {s: ""When did the glass shatter on the nicely set table?""}, ""Question"", { } ],"
exp.caus.tran,1,124,What,did,the,lightning,snap,off,of,the,oak,tree?,,,,What did the lightning snap off of the oak tree?,Natural?,j,f,"[[""exp.caus.tran.124"", 124], ""DashedSentence"", {s: ""What did the lightning snap off of the oak tree?""}, ""Question"", { } ],"
exp.caus.intr,2,124,When,did,the,branch,snap,off,of,the,oak,tree?,,,,When did the branch snap off of the oak tree?,Natural?,j,f,"[[""exp.caus.intr.124"", 124], ""DashedSentence"", {s: ""When did the branch snap off of the oak tree?""}, ""Question"", { } ],"
exp.caus.tran,1,126,What,did,the,dancer,tear,during,the,performance?,,,,,,What did the dancer tear during the performance?,Natural?,j,f,"[[""exp.caus.tran.126"", 126], ""DashedSentence"", {s: ""What did the dancer tear during the performance?""}, ""Question"", { } ],"
exp.caus.intr,2,126,When,did,the,costume,tear,during,the,performance?,,,,,,When did the costume tear during the performance?,Natural?,j,f,"[[""exp.caus.intr.126"", 126], ""DashedSentence"", {s: ""When did the costume tear during the performance?""}, ""Question"", { } ],"
exp.caus.tran,1,129,What,did,the,town council,change,at,the,intersection?,,,,,,What did the town council change at the intersection?,Natural?,j,f,"[[""exp.caus.tran.129"", 129], ""DashedSentence"", {s: ""What did the town council change at the intersection?""}, ""Question"", { } ],"
exp.caus.intr,2,129,When,did,the,light,change,at,the,intersection?,,,,,,When did the light change at the intersection?,Natural?,j,f,"[[""exp.caus.intr.129"", 129], ""DashedSentence"", {s: ""When did the light change at the intersection?""}, ""Question"", { } ],"
exp.caus.tran,1,133,What,did,the,bartender,cool,in,the,refrigerator?,,,,,,What did the bartender cool in the refrigerator?,Natural?,j,f,"[[""exp.caus.tran.133"", 133], ""DashedSentence"", {s: ""What did the bartender cool in the refrigerator?""}, ""Question"", { } ],"
exp.caus.intr,2,133,When,did,the,soup,cool,in,the,refrigerator?,,,,,,When did the soup cool in the refrigerator?,Natural?,j,f,"[[""exp.caus.intr.133"", 133], ""DashedSentence"", {s: ""When did the soup cool in the refrigerator?""}, ""Question"", { } ],"
exp.caus.tran,1,135,What,did,the,father,dry,on,the,front,porch?,,,,,What did the father dry on the front porch?,Natural?,j,f,"[[""exp.caus.tran.135"", 135], ""DashedSentence"", {s: ""What did the father dry on the front porch?""}, ""Question"", { } ],"
exp.caus.intr,2,135,When,did,the,towel,dry,on,the,front,porch?,,,,,When did the towel dry on the front porch?,Natural?,j,f,"[[""exp.caus.intr.135"", 135], ""DashedSentence"", {s: ""When did the towel dry on the front porch?""}, ""Question"", { } ],"
exp.caus.tran,1,140,What,did,the,botanist,grow,in,the,greenhouse?,,,,,,What did the botanist grow in the greenhouse?,Natural?,j,f,"[[""exp.caus.tran.140"", 140], ""DashedSentence"", {s: ""What did the botanist grow in the greenhouse?""}, ""Question"", { } ],"
exp.caus.intr,2,140,When,did,the,vegetables,grow,in,the,greenhouse?,,,,,,When did the vegetables grow in the greenhouse?,Natural?,j,f,"[[""exp.caus.intr.140"", 140], ""DashedSentence"", {s: ""When did the vegetables grow in the greenhouse?""}, ""Question"", { } ],"
exp.caus.tran,1,145,What,did,the,air compressor,inflate,at,the,carnival?,,,,,,What did the air compressor inflate at the carnival?,Natural?,j,f,"[[""exp.caus.tran.145"", 145], ""DashedSentence"", {s: ""What did the air compressor inflate at the carnival?""}, ""Question"", { } ],"
exp.caus.intr,2,145,When,did,the,moonwalk,inflate,at,the,carnival?,,,,,,When did the moonwalk inflate at the carnival?,Natural?,j,f,"[[""exp.caus.intr.145"", 145], ""DashedSentence"", {s: ""When did the moonwalk inflate at the carnival?""}, ""Question"", { } ],"
exp.caus.tran,1,146,What,did,the,lunch lady,thaw,in,the,cafeteria?,,,,,,What did the lunch lady thaw in the cafeteria?,Natural?,j,f,"[[""exp.caus.tran.146"", 146], ""DashedSentence"", {s: ""What did the lunch lady thaw in the cafeteria?""}, ""Question"", { } ],"
exp.caus.intr,2,146,When,did,the,popsicle,thaw,in,the,cafeteria?,,,,,,When did the popsicle thaw in the cafeteria?,Natural?,j,f,"[[""exp.caus.intr.146"", 146], ""DashedSentence"", {s: ""When did the popsicle thaw in the cafeteria?""}, ""Question"", { } ],"
exp.caus.tran,1,147,What,did,the,fisherman,sink,in,the,lake?,,,,,,What did the fisherman sink in the lake?,Natural?,j,f,"[[""exp.caus.tran.147"", 147], ""DashedSentence"", {s: ""What did the fisherman sink in the lake?""}, ""Question"", { } ],"
exp.caus.intr,2,147,When,did,the,paddle,sink,in,the,lake?,,,,,,When did the paddle sink in the lake?,Natural?,j,f,"[[""exp.caus.intr.147"", 147], ""DashedSentence"", {s: ""When did the paddle sink in the lake?""}, ""Question"", { } ],"
exp.caus.tran,1,149,What,did,the,machine,dry,at,the,salon?,,,,,,What did the machine dry at the salon?,Natural?,j,f,"[[""exp.caus.tran.149"", 149], ""DashedSentence"", {s: ""What did the machine dry at the salon?""}, ""Question"", { } ],"
exp.caus.intr,2,149,When,did,the,hair,dry,at,the,salon?,,,,,,When did the hair dry at the salon?,Natural?,j,f,"[[""exp.caus.intr.149"", 149], ""DashedSentence"", {s: ""When did the hair dry at the salon?""}, ""Question"", { } ],"
exp.caus.tran,1,151,What,did,the,pharmacist,age,in,the,bottle?,,,,,,What did the pharmacist age in the bottle?,Natural?,j,f,"[[""exp.caus.tran.151"", 151], ""DashedSentence"", {s: ""What did the pharmacist age in the bottle?""}, ""Question"", { } ],"
exp.caus.intr,2,151,When,did,the,wine,age,in,the,bottle?,,,,,,When did the wine age in the bottle?,Natural?,j,f,"[[""exp.caus.intr.151"", 151], ""DashedSentence"", {s: ""When did the wine age in the bottle?""}, ""Question"", { } ],"
exp.caus.tran,1,152,What,did,the,cashier,close,in,the,store?,,,,,,What did the cashier close in the store?,Natural?,j,f,"[[""exp.caus.tran.152"", 152], ""DashedSentence"", {s: ""What did the cashier close in the store?""}, ""Question"", { } ],"
exp.caus.intr,2,152,When,did,the,registers,close,in,the,store?,,,,,,When did the registers close in the store?,Natural?,j,f,"[[""exp.caus.intr.152"", 152], ""DashedSentence"", {s: ""When did the registers close in the store?""}, ""Question"", { } ],"
exp.caus.tran,1,153,What,did,the,thief,ignite,in,the,garage?,,,,,,What did the thief ignite in the garage?,Natural?,j,f,"[[""exp.caus.tran.153"", 153], ""DashedSentence"", {s: ""What did the thief ignite in the garage?""}, ""Question"", { } ],"
exp.caus.intr,2,153,When,did,the,fire,ignite,in,the,garage?,,,,,,When did the fire ignite in the garage?,Natural?,j,f,"[[""exp.caus.intr.153"", 153], ""DashedSentence"", {s: ""When did the fire ignite in the garage?""}, ""Question"", { } ],"
exp.caus.tran,1,154,What,did,the,body-builder,stretch,during,the,exercise,routine?,,,,,What did the body-builder stretch during the exercise routine?,Natural?,j,f,"[[""exp.caus.tran.154"", 154], ""DashedSentence"", {s: ""What did the body-builder stretch during the exercise routine?""}, ""Question"", { } ],"
exp.caus.intr,2,154,When,did,the,muscles,stretch,during,the,exercise,routine?,,,,,When did the muscles stretch during the exercise routine?,Natural?,j,f,"[[""exp.caus.intr.154"", 154], ""DashedSentence"", {s: ""When did the muscles stretch during the exercise routine?""}, ""Question"", { } ],"
exp.caus.tran,1,155,What,did,the,driver,crash,into,the,tree?,,,,,,What did the driver crash into the tree?,Natural?,j,f,"[[""exp.caus.tran.155"", 155], ""DashedSentence"", {s: ""What did the driver crash into the tree?""}, ""Question"", { } ],"
exp.caus.intr,2,155,When,did,the,dirtbike rider,crash,into,the,tree?,,,,,,When did the dirtbike rider crash into the tree?,Natural?,j,f,"[[""exp.caus.intr.155"", 155], ""DashedSentence"", {s: ""When did the dirtbike rider crash into the tree?""}, ""Question"", { } ],"
exp.caus.tran,1,158,What,did,the,loggers,clear,from,the,rainforest?,,,,,,What did the loggers clear from the rainforest?,Natural?,j,f,"[[""exp.caus.tran.158"", 158], ""DashedSentence"", {s: ""What did the loggers clear from the rainforest?""}, ""Question"", { } ],"
exp.caus.intr,2,158,When,did,the,precipitation,clear,from,the,rainforest?,,,,,,When did the precipitation clear from the rainforest?,Natural?,j,f,"[[""exp.caus.intr.158"", 158], ""DashedSentence"", {s: ""When did the precipitation clear from the rainforest?""}, ""Question"", { } ],"
exp.caus.tran,1,160,What,did,the,detective,collect,from,the,crime,scene?,,,,,What did the detective collect from the crime scene?,Natural?,j,f,"[[""exp.caus.tran.160"", 160], ""DashedSentence"", {s: ""What did the detective collect from the crime scene?""}, ""Question"", { } ],"
exp.caus.intr,2,160,When,did,the,investigator,collect,from,the,crime,scene?,,,,,When did the investigator collect from the crime scene?,Natural?,j,f,"[[""exp.caus.intr.160"", 160], ""DashedSentence"", {s: ""When did the investigator collect from the crime scene?""}, ""Question"", { } ],"
exp.caus.tran,1,161,What,did,the,victim,collect,from,the,insurance,agency?,,,,,What did the victim collect from the insurance agency?,Natural?,j,f,"[[""exp.caus.tran.161"", 161], ""DashedSentence"", {s: ""What did the victim collect from the insurance agency?""}, ""Question"", { } ],"
exp.caus.intr,2,161,When,did,the,defendant,collect,from,the,insurance,agency?,,,,,When did the defendant collect from the insurance agency?,Natural?,j,f,"[[""exp.caus.intr.161"", 161], ""DashedSentence"", {s: ""When did the defendant collect from the insurance agency?""}, ""Question"", { } ],"
exp.caus.tran,1,163,What,did,the,escorts,clear,out,of,the,auditorium?,,,,,What did the escorts clear out of the auditorium?,Natural?,j,f,"[[""exp.caus.tran.163"", 163], ""DashedSentence"", {s: ""What did the escorts clear out of the auditorium?""}, ""Question"", { } ],"
exp.caus.intr,2,163,When,did,crowd,clear,out,of,the,auditorium?,,,,,,When did crowd clear out of the auditorium?,Natural?,j,f,"[[""exp.caus.intr.163"", 163], ""DashedSentence"", {s: ""When did crowd clear out of the auditorium?""}, ""Question"", { } ],"
exp.caus.tran,1,164,What,did,the,mixer,crumble,in,the,bakery?,,,,,,What did the mixer crumble in the bakery?,Natural?,j,f,"[[""exp.caus.tran.164"", 164], ""DashedSentence"", {s: ""What did the mixer crumble in the bakery?""}, ""Question"", { } ],"
exp.caus.intr,2,164,When,did,the,piecrust,crumble,in,the,bakery?,,,,,,When did the piecrust crumble in the bakery?,Natural?,j,f,"[[""exp.caus.intr.164"", 164], ""DashedSentence"", {s: ""When did the piecrust crumble in the bakery?""}, ""Question"", { } ],"
exp.caus.tran,1,165,What,did,the,athlete,fracture,at,the,basketball,game?,,,,,What did the athlete fracture at the basketball game?,Natural?,j,f,"[[""exp.caus.tran.165"", 165], ""DashedSentence"", {s: ""What did the athlete fracture at the basketball game?""}, ""Question"", { } ],"
exp.caus.intr,2,165,When,did,the,ankle,fracture,at,the,basketball,game?,,,,,When did the ankle fracture at the basketball game?,Natural?,j,f,"[[""exp.caus.intr.165"", 165], ""DashedSentence"", {s: ""When did the ankle fracture at the basketball game?""}, ""Question"", { } ],"
exp.caus.tran,1,172,What,did,the,detergent,fade,in,the,washer?,,,,,,What did the detergent fade in the washer?,Natural?,j,f,"[[""exp.caus.tran.172"", 172], ""DashedSentence"", {s: ""What did the detergent fade in the washer?""}, ""Question"", { } ],"
exp.caus.intr,2,172,When,did,the,jeans,fade,in,the,washer?,,,,,,When did the jeans fade in the washer?,Natural?,j,f,"[[""exp.caus.intr.172"", 172], ""DashedSentence"", {s: ""When did the jeans fade in the washer?""}, ""Question"", { } ],"
exp.caus.tran,1,173,What,did,the,washing machine,flood,in,the,utility,room?,,,,,What did the washing machine flood in the utility room?,Natural?,j,f,"[[""exp.caus.tran.173"", 173], ""DashedSentence"", {s: ""What did the washing machine flood in the utility room?""}, ""Question"", { } ],"
exp.caus.intr,2,173,When,did,the,tub,flood,in,the,utility,room?,,,,,When did the tub flood in the utility room?,Natural?,j,f,"[[""exp.caus.intr.173"", 173], ""DashedSentence"", {s: ""When did the tub flood in the utility room?""}, ""Question"", { } ],"
exp.caus.tran,1,177,What,did,the,plaque,clog,in,the,heart?,,,,,,What did the plaque clog in the heart?,Natural?,j,f,"[[""exp.caus.tran.177"", 177], ""DashedSentence"", {s: ""What did the plaque clog in the heart?""}, ""Question"", { } ],"
exp.caus.intr,2,177,When,did,the,artery,clog,in,the,heart?,,,,,,When did the artery clog in the heart?,Natural?,j,f,"[[""exp.caus.intr.177"", 177], ""DashedSentence"", {s: ""When did the artery clog in the heart?""}, ""Question"", { } ],"
exp.caus.tran,1,183,What,did,the,cook,heat,in,the,oven?,,,,,,What did the cook heat in the oven?,Natural?,j,f,"[[""exp.caus.tran.183"", 183], ""DashedSentence"", {s: ""What did the cook heat in the oven?""}, ""Question"", { } ],"
exp.caus.intr,2,183,When,did,the,food,heat,in,the,oven?,,,,,,When did the food heat in the oven?,Natural?,j,f,"[[""exp.caus.intr.183"", 183], ""DashedSentence"", {s: ""When did the food heat in the oven?""}, ""Question"", { } ],"
exp.caus.tran,1,184,What,did,the,nanny,soak,in,the,washtub?,,,,,,What did the nanny soak in the washtub?,Natural?,j,f,"[[""exp.caus.tran.184"", 184], ""DashedSentence"", {s: ""What did the nanny soak in the washtub?""}, ""Question"", { } ],"
exp.caus.intr,2,184,When,did,the,socks,soak,in,the,washtub?,,,,,,When did the socks soak in the washtub?,Natural?,j,f,"[[""exp.caus.intr.184"", 184], ""DashedSentence"", {s: ""When did the socks soak in the washtub?""}, ""Question"", { } ],"
exp.caus.tran,1,187,What,did,the,skydiver,open,in,the,air?,,,,,,What did the skydiver open in the air?,Natural?,j,f,"[[""exp.caus.tran.187"", 187], ""DashedSentence"", {s: ""What did the skydiver open in the air?""}, ""Question"", { } ],"
exp.caus.intr,2,187,When,did,the,parachute,open,in,the,air?,,,,,,When did the parachute open in the air?,Natural?,j,f,"[[""exp.caus.intr.187"", 187], ""DashedSentence"", {s: ""When did the parachute open in the air?""}, ""Question"", { } ],"
exp.caus.tran,1,188,What,did,the,trainer,balance,on,the,dog's,nose?,,,,,What did the trainer balance on the dog's nose?,Natural?,j,f,"[[""exp.caus.tran.188"", 188], ""DashedSentence"", {s: ""What did the trainer balance on the dog's nose?""}, ""Question"", { } ],"
exp.caus.intr,2,188,When,did,the,treat,balance,on,the,dog's,nose?,,,,,When did the treat balance on the dog's nose?,Natural?,j,f,"[[""exp.caus.intr.188"", 188], ""DashedSentence"", {s: ""When did the treat balance on the dog's nose?""}, ""Question"", { } ],"
exp.caus.tran,1,189,What,did,the,cast,heal,in,the,hospital?,,,,,,What did the cast heal in the hospital?,Natural?,j,f,"[[""exp.caus.tran.189"", 189], ""DashedSentence"", {s: ""What did the cast heal in the hospital?""}, ""Question"", { } ],"
exp.caus.intr,2,189,When,did,the,injury,heal,in,the,hospital?,,,,,,When did the injury heal in the hospital?,Natural?,j,f,"[[""exp.caus.intr.189"", 189], ""DashedSentence"", {s: ""When did the injury heal in the hospital?""}, ""Question"", { } ],"
exp.act.tran,3,204,What,did,the,hiker,chop,for,the,camp,fire?,,,,,What did the hiker chop for the camp fire?,Natural?,j,f,"[[""exp.act.tran.204"", 204], ""DashedSentence"", {s: ""What did the hiker chop for the camp fire?""}, ""Question"", { } ],"
exp.act.intr,4,204,When,did,the,hiker,chop,for,the,camp,fire?,,,,,When did the hiker chop for the camp fire?,Natural?,j,f,"[[""exp.act.intr.204"", 204], ""DashedSentence"", {s: ""When did the hiker chop for the camp fire?""}, ""Question"", { } ],"
exp.act.tran,3,210,What,did,the,maid,dust,before,the,guests,arrived?,,,,,What did the maid dust before the guests arrived?,Natural?,j,f,"[[""exp.act.tran.210"", 210], ""DashedSentence"", {s: ""What did the maid dust before the guests arrived?""}, ""Question"", { } ],"
exp.act.intr,4,210,When,did,the,maid,dust,before,the,guests,arrived?,,,,,When did the maid dust before the guests arrived?,Natural?,j,f,"[[""exp.act.intr.210"", 210], ""DashedSentence"", {s: ""When did the maid dust before the guests arrived?""}, ""Question"", { } ],"
exp.act.tran,3,212,What,did,the,teacher,hum,for,the,music,students?,,,,,What did the teacher hum for the music students?,Natural?,j,f,"[[""exp.act.tran.212"", 212], ""DashedSentence"", {s: ""What did the teacher hum for the music students?""}, ""Question"", { } ],"
exp.act.intr,4,212,When,did,the,teacher,hum,for,the,music,students?,,,,,When did the teacher hum for the music students?,Natural?,j,f,"[[""exp.act.intr.212"", 212], ""DashedSentence"", {s: ""When did the teacher hum for the music students?""}, ""Question"", { } ],"
exp.act.tran,3,217,What,did,the,gardener,mow,during,the,three-day,weekend?,,,,,What did the gardener mow during the three-day weekend?,Natural?,j,f,"[[""exp.act.tran.217"", 217], ""DashedSentence"", {s: ""What did the gardener mow during the three-day weekend?""}, ""Question"", { } ],"
exp.act.intr,4,217,When,did,the,gardener,mow,during,the,three-day,weekend?,,,,,When did the gardener mow during the three-day weekend?,Natural?,j,f,"[[""exp.act.intr.217"", 217], ""DashedSentence"", {s: ""When did the gardener mow during the three-day weekend?""}, ""Question"", { } ],"
exp.act.tran,3,218,What,did,the,couple,pack,for,the,vacation,to,Thailand?,,,,What did the couple pack for the vacation to Thailand?,Natural?,j,f,"[[""exp.act.tran.218"", 218], ""DashedSentence"", {s: ""What did the couple pack for the vacation to Thailand?""}, ""Question"", { } ],"
exp.act.intr,4,218,When,did,the,couple,pack,for,the,vacation,to,Thailand?,,,,When did the couple pack for the vacation to Thailand?,Natural?,j,f,"[[""exp.act.intr.218"", 218], ""DashedSentence"", {s: ""When did the couple pack for the vacation to Thailand?""}, ""Question"", { } ],"
exp.act.tran,3,220,What,did,the,child,play,with,the,neighbor's,kids?,,,,,What did the child play with the neighbor's kids?,Natural?,j,f,"[[""exp.act.tran.220"", 220], ""DashedSentence"", {s: ""What did the child play with the neighbor's kids?""}, ""Question"", { } ],"
exp.act.intr,4,220,When,did,the,child,play,with,the,neighbor's,kids?,,,,,When did the child play with the neighbor's kids?,Natural?,j,f,"[[""exp.act.intr.220"", 220], ""DashedSentence"", {s: ""When did the child play with the neighbor's kids?""}, ""Question"", { } ],"
exp.act.tran,3,221,What,did,the,farmer,plow,around,the,silo?,,,,,,What did the farmer plow around the silo?,Natural?,j,f,"[[""exp.act.tran.221"", 221], ""DashedSentence"", {s: ""What did the farmer plow around the silo?""}, ""Question"", { } ],"
exp.act.intr,4,221,When,did,the,farmer,plow,around,the,silo?,,,,,,When did the farmer plow around the silo?,Natural?,j,f,"[[""exp.act.intr.221"", 221], ""DashedSentence"", {s: ""When did the farmer plow around the silo?""}, ""Question"", { } ],"
exp.act.tran,3,222,What,did,the,professor,read,for,the,philosophy,seminar?,,,,,What did the professor read for the philosophy seminar?,Natural?,j,f,"[[""exp.act.tran.222"", 222], ""DashedSentence"", {s: ""What did the professor read for the philosophy seminar?""}, ""Question"", { } ],"
exp.act.intr,4,222,When,did,the,professor,read,for,the,philosophy,seminar?,,,,,When did the professor read for the philosophy seminar?,Natural?,j,f,"[[""exp.act.intr.222"", 222], ""DashedSentence"", {s: ""When did the professor read for the philosophy seminar?""}, ""Question"", { } ],"
exp.act.tran,3,223,What,did,the,poet,recite,in,front,of,the,English,class?,,,What did the poet recite in front of the English class?,Natural?,j,f,"[[""exp.act.tran.223"", 223], ""DashedSentence"", {s: ""What did the poet recite in front of the English class?""}, ""Question"", { } ],"
exp.act.intr,4,223,When,did,the,poet,recite,in,front,of,the,English,class?,,,When did the poet recite in front of the English class?,Natural?,j,f,"[[""exp.act.intr.223"", 223], ""DashedSentence"", {s: ""When did the poet recite in front of the English class?""}, ""Question"", { } ],"
exp.act.tran,3,224,What,did,the,musician,sing,at,radio,city,music,hall?,,,,What did the musician sing at radio city music hall?,Natural?,j,f,"[[""exp.act.tran.224"", 224], ""DashedSentence"", {s: ""What did the musician sing at radio city music hall?""}, ""Question"", { } ],"
